Date,Price,Open,High,Low,Vol.,Change %,Ticker,Unnamed: 7,Unnamed: 8
2023-02-28,8.7,8.5,8.8,8.45,8.24M,2.35%,UBA,,
2023-02-27,8.5,8.5,8.5,8.4,9.11M,0.00%,UBA,,
2023-02-24,8.5,8.4,8.55,8.4,7.59M,1.19%,UBA,,
2023-02-23,8.4,8.35,8.4,8.35,32.42M,0.60%,UBA,,
2023-02-22,8.35,8.35,8.35,8.25,5.43M,0.00%,UBA,,
2023-02-21,8.35,8.4,8.35,8.3,7.19M,-0.60%,UBA,,
2023-02-20,8.4,8.35,8.4,8.35,940.54K,0.60%,UBA,,
2023-02-17,8.35,8.4,8.35,8.3,9.83M,-0.60%,UBA,,
2023-02-16,8.4,8.4,8.4,8.4,14.36M,0.00%,UBA,,
2023-02-15,8.4,8.35,8.4,8.35,13.10M,0.60%,UBA,,
2023-02-14,8.35,8.4,8.4,8.35,25.73M,-0.60%,UBA,,
2023-02-13,8.4,8.35,8.4,8.35,28.62M,0.60%,UBA,,
2023-02-10,8.35,8.35,8.4,8.3,2.12M,0.00%,UBA,,
2023-02-09,8.35,8.35,8.35,8.3,6.06M,0.00%,UBA,,
2023-02-08,8.35,8.4,8.4,8.35,7.74M,-0.60%,UBA,,
2023-02-07,8.4,8.4,8.35,8.3,3.46M,0.00%,UBA,,
2023-02-06,8.4,8.45,8.45,8.3,14.94M,-0.59%,UBA,,
2023-02-03,8.45,8.2,8.45,8.2,8.14M,3.05%,UBA,,
2023-02-02,8.2,8.2,8.2,8.1,8.77M,0.00%,UBA,,
2023-02-01,8.2,8.2,8.2,8.15,11.15M,0.00%,UBA,,
2023-01-31,8.2,8.2,8.3,8.15,8.21M,0.00%,UBA,,
2023-01-30,8.2,8.15,8.3,8.1,11.45M,0.61%,UBA,,
2023-01-27,8.15,8.2,8.2,8.15,5.84M,-0.61%,UBA,,
2023-01-26,8.2,8.1,8.2,8.1,3.88M,1.23%,UBA,,
2023-01-25,8.1,8.3,8.3,8.1,3.45M,-2.41%,UBA,,
2023-01-24,8.3,8.1,8.35,8.2,12.68M,2.47%,UBA,,
2023-01-23,8.1,8.1,8.15,8.05,8.84M,0.00%,UBA,,
2023-01-20,8.1,8.05,8.1,8.05,5.35M,0.62%,UBA,,
2023-01-19,8.05,8.15,8.15,8.05,9.73M,-1.23%,UBA,,
2023-01-18,8.15,8.05,8.15,8.1,8.13M,1.24%,UBA,,
2023-01-17,8.05,8.0,8.1,8.05,6.59M,0.63%,UBA,,
2023-01-16,8.0,8.35,8.45,8.0,22.93M,-4.19%,UBA,,
2023-01-13,8.35,8.2,8.5,8.25,17.15M,1.83%,UBA,,
2023-01-12,8.2,8.1,8.2,8.1,9.58M,1.23%,UBA,,
2023-01-11,8.1,8.0,8.15,8.0,5.46M,1.25%,UBA,,
2023-01-10,8.0,8.0,8.05,8.0,6.88M,0.00%,UBA,,
2023-01-09,8.0,8.0,8.15,7.9,21.62M,0.00%,UBA,,
2023-01-06,8.0,7.95,8.2,8.0,17.32M,0.63%,UBA,,
2023-01-05,7.95,8.0,8.0,7.95,1.56M,-0.63%,UBA,,
2023-01-04,8.0,8.3,8.25,8.0,12.21M,-3.61%,UBA,,
2023-01-03,8.3,7.6,8.3,7.7,8.15M,9.21%,UBA,,
2022-12-30,7.6,7.85,7.75,7.6,3.64M,-3.18%,UBA,,
2022-12-29,7.85,7.65,7.85,7.65,3.78M,2.61%,UBA,,
2022-12-28,7.65,7.5,7.65,7.6,2.03M,2.00%,UBA,,
2022-12-23,7.5,7.45,7.55,7.5,3.26M,0.67%,UBA,,
2022-12-22,7.45,7.45,7.45,7.35,5.09M,0.00%,UBA,,
2022-12-21,7.45,7.35,7.45,7.35,6.06M,1.36%,UBA,,
2022-12-20,7.35,7.35,7.4,7.35,7.12M,0.00%,UBA,,
2022-12-19,7.35,7.3,7.65,7.3,7.59M,0.68%,UBA,,
2022-12-16,7.3,7.3,7.35,7.3,7.73M,0.00%,UBA,,
2022-12-15,7.3,7.35,7.3,7.25,4.52M,-0.68%,UBA,,
2022-12-14,7.35,7.35,7.35,7.25,2.70M,0.00%,UBA,,
